Strategy Name,Profit factor (IS),Max. Drawdown (IS),Win rate (IS),# of trades (IS),Sharpe Ratio (IS),Net profit (IS)
Strategy 1.1.133,3.09,11.77,54.56,18,0.0,693.84
Strategy 1.1.154,1.15,14.82,52.88,8,0.0,346.4
Strategy 1.1.159,0.85,13.49,51.58,7,0.0,324.43
Strategy 1.1.176,1.33,16.33,53.28,6,0.0,319.53
Strategy 1.1.99,1.52,17.46,54.63,7,0.0,519.06
Strategy 1.10.122,1.07,18.27,50.34,4,0.0,210.14
Strategy 1.10.140,0.81,14.05,51.95,8,0.0,403.83
Strategy 1.11.168,0.54,11.16,55.22,7,0.0,363.1
Strategy 1.11.173,1.38,17.76,51.0,5,0.0,199.17
Strategy 1.11.193,1.13,14.83,50.62,8,0.0,167.72
Strategy 1.16.160,1.32,16.29,50.0,6,0.0,244.28
Strategy 1.2.160,0.0,20.72,50.5,4,0.0,142.4
Strategy 1.21.113,1.72,8.98,53.63,16,0.0,848.16
Strategy 1.21.183,1.43,17.78,50.93,6,0.0,276.62
Strategy 1.22.136,1.46,8.87,51.79,10,0.0,338.67
Strategy 1.22.160,0.62,10.75,56.83,8,0.0,371.49
Strategy 1.23.185,2.57,15.99,50.47,5,0.0,210.84
Strategy 1.24.113,2.05,14.11,50.47,8,0.0,266.39
Strategy 1.24.130,1.16,20.22,52.35,4,0.0,392.0
Strategy 1.4.179,0.76,14.38,54.63,10,0.0,616.33
Strategy 1.6.172,0.88,17.13,53.66,6,0.0,438.55
Strategy 1.7.154,0.0,18.55,50.83,5,0.0,194.91
Strategy 1.8.145,0.0,16.12,53.13,10,0.0,346.17
Strategy 2.1.171,0.53,14.3,54.85,10,0.0,457.34
Strategy 2.1.181,1.5,16.05,50.91,4,0.0,229.29
Strategy 2.10.150,1.32,9.79,50.58,9,0.0,178.14
Strategy 2.11.159,0.59,25.29,50.99,5,0.0,164.47
Strategy 2.12.137,1.15,16.85,53.05,8,0.0,335.67
Strategy 2.18.184,0.0,20.93,50.51,6,0.0,135.73
Strategy 2.2.110,2.73,7.47,50.51,9,0.0,247.14
Strategy 2.2.163,1.33,13.71,50.53,9,0.0,271.01
Strategy 2.21.138,0.0,15.15,50.68,8,0.0,86.66
Strategy 2.21.181,0.82,16.64,51.74,9,0.0,488.51
Strategy 2.25.115,1.3,16.65,51.18,6,0.0,208.03
Strategy 2.26.122,0.87,12.02,50.85,7,0.0,227.6
Strategy 2.27.119,0.09,20.3,50.4,6,0.0,209.38
Strategy 2.29.157,0.0,12.41,51.95,4,0.0,123.6
Strategy 2.29.186,1.26,16.44,54.79,11,0.0,583.32
Strategy 2.30.108,0.93,25.27,51.02,5,0.0,294.91
Strategy 2.30.141,0.57,22.02,51.02,5,0.0,154.46
Strategy 2.4.197,1.35,19.07,51.24,4,0.0,199.94
Strategy 2.5.142,1.49,14.15,52.58,6,0.0,210.88
Strategy 2.5.164,3.74,9.34,50.68,9,0.0,261.0
Strategy 2.5.187,1.63,11.23,50.39,6,0.0,340.3
Strategy 2.8.193,1.09,21.83,50.45,6,0.0,217.85
Strategy 3.1.177,0.67,15.45,55.44,9,0.0,311.34
Strategy 3.1.187,0.0,20.47,52.69,6,0.0,196.23
Strategy 3.1.193,0.42,15.99,50.0,7,0.0,212.18
Strategy 3.10.194,1.07,27.08,51.3,6,0.0,252.88
Strategy 3.11.125,1.3,15.41,51.39,9,0.0,229.41
Strategy 3.11.183,1.46,8.2,52.8,9,0.0,389.6
Strategy 3.12.111,1.32,15.3,51.87,6,0.0,270.69
Strategy 3.13.139,0.0,19.79,50.0,4,0.0,129.11
Strategy 3.13.157,0.71,10.3,53.31,7,0.0,333.56
Strategy 3.16.157,0.45,19.84,52.63,4,0.0,161.92
Strategy 3.18.120,0.98,10.21,51.23,11,0.0,224.73
Strategy 3.21.155,1.4,8.34,55.38,11,0.0,549.8
Strategy 3.7.152,1.47,12.31,50.0,4,0.0,187.76
Strategy 3.7.178,0.62,11.25,53.45,11,0.0,346.78
Strategy 3.8.109,0.78,13.45,53.89,7,0.0,349.98
Strategy 3.8.121,0.81,12.69,53.37,10,0.0,447.42
Strategy 3.8.126,1.61,17.93,51.16,4,0.0,227.33
Strategy 4.10.121,1.46,16.48,50.59,7,0.0,278.64
Strategy 4.11.121,0.88,11.21,51.92,7,0.0,286.99
Strategy 4.12.161,2.62,13.71,55.41,12,0.0,911.24
Strategy 4.17.177,0.88,17.48,50.0,7,0.0,209.76
Strategy 4.18.162,1.01,20.33,50.98,5,0.0,173.54
Strategy 4.2.105,0.62,16.17,50.57,4,0.0,144.53
Strategy 4.20.128,0.96,27.68,51.9,3,0.0,209.9
Strategy 4.20.173,0.6,11.08,51.12,9,0.0,429.6
Strategy 4.24.183,1.55,9.33,50.96,7,0.0,227.07
Strategy 4.25.163,1.01,13.42,51.06,5,0.0,152.49
Strategy 4.26.148,0.0,9.18,51.69,4,0.0,177.3
Strategy 4.26.172,0.0,21.92,50.0,5,0.0,101.83
Strategy 4.30.149,1.01,22.88,50.42,4,0.0,209.93
Strategy 4.7.113,1.89,14.07,50.0,9,0.0,221.72
Strategy 4.8.190,0.51,21.78,51.25,4,0.0,195.1
Strategy 4.8.195,1.05,14.03,53.89,7,0.0,187.25
